Study,Host,Base (%),Attack (%),Variation (%)
C06 (CPU),H02,44.85,54.19,20.82
C06 (CPU),L04,18.28,46.42,153.94
C07 (GPU),H04,46.97,83.87,78.56
C08 (GPU),H04,65.11,66.11,1.54
C09 (GPU),H04,65.46,68.54,4.71
C10 (GPU),H04,56.17,64.5,14.83
C11 (GPU),H04,64.22,65.52,2.02
C12 (GPU),H04,65.13,69.99,7.46
C13 (GPU),H04,73.19,75.8,3.57
C14 (GPU),H03,51.25,77.03,50.3
C14 (GPU),H06,19.0,75.0,294.74
C15 (GPU),H04,57.72,60.71,5.18
C16 (CPU),L04,17.87,37.61,110.46
C16 (CPU),L05,8.33,23.44,181.39
C16 (CPU),L06,5.86,29.73,407.34
C16 (CPU),L06,7.05,70.54,900.57
C16 (CPU),L06,11.08,83.75,655.87
C16 (CPU),L08,27.95,86.75,210.38
